size,dot_product_time,matrix_vector_time
100,6.51e-7,7.5134e-5
100,1.4e-7,5.5626e-5
100,1.1e-7,4.9224e-5
100,1.0e-7,5.0357e-5
100,1.0e-7,5.1669e-5
100,1.0e-7,4.689e-5
100,1.0e-7,4.8021e-5
100,1.0e-7,4.9925e-5
100,1.1e-7,4.7641e-5
100,1.1e-7,5.0447e-5
200,1.71e-7,0.000227946
200,2.0e-7,0.000196585
200,1.91e-7,0.0375596
200,2.71e-7,0.000130429
200,1.81e-7,0.000129968
200,1.8e-7,0.000129517
200,1.8e-7,0.000128506
200,1.8e-7,0.000128065
200,2.11e-7,0.000129177
200,1.8e-7,0.000129968
300,2.61e-7,0.000425112
300,2.4e-7,0.00040823
300,2.5e-7,0.000495547
300,4.3e-7,0.000388932
300,2.5e-7,0.000398641
300,2.6e-7,0.000395616
300,2.51e-7,0.000355248
300,2.5e-7,0.000339969
300,2.5e-7,0.000339799
300,2.6e-7,0.000339729
400,5.11e-7,0.000620185
400,4.91e-7,0.000582442
400,7.22e-7,0.000623622
400,4.81e-7,0.000632267
400,4.81e-7,0.000680289
400,4.61e-7,0.000632579
400,4.61e-7,0.000612129
400,3.91e-7,0.000627408
400,3.4e-7,0.000610165
400,4.11e-7,0.000698665
500,9.01e-7,0.001087928
500,4.81e-7,0.00104188
500,5.01e-7,0.001016041
500,6.61e-7,0.001106624
500,5.11e-7,0.000923564
500,5.71e-7,0.00094243
500,5.21e-7,0.001004839
500,5.11e-7,0.001190234
500,6.21e-7,0.000959202
500,5.71e-7,0.001060415
600,1.182e-6,0.001452214
600,7.01e-7,0.001426444
600,6.82e-7,0.001433278
600,7.31e-7,0.001383412
600,7.41e-7,0.001354428
600,6.71e-7,0.001465188
600,6.91e-7,0.001478353
600,1.032e-6,0.001521496
600,5.81e-7,0.001381078
600,1.002e-6,0.001411927
700,7.22e-7,0.001961276
700,7.62e-7,0.002034085
700,1.102e-6,0.002200664
700,9.72e-7,0.002000421
700,1.042e-6,0.001987105
700,8.82e-7,0.002012413
700,7.51e-7,0.001975453
700,8.92e-7,0.002099179
700,8.42e-7,0.002013456
700,9.02e-7,0.002011291
800,1.022e-6,0.002587643
800,1.242e-6,0.00251311
800,1.182e-6,0.002600837
800,1.533e-6,0.002560812
800,9.52e-7,0.002485878
800,7.92e-7,0.002630996
800,1.182e-6,0.002642066
800,9.92e-7,0.002568206
800,1.032e-6,0.00264424
800,1.092e-6,0.0026492
900,9.52e-7,0.003269625
900,1.463e-6,0.003359547
900,1.683e-6,0.003352614
900,1.062e-6,0.003237574
900,9.72e-7,0.003424551
900,1.543e-6,0.003380526
900,1.002e-6,0.003201726
900,1.212e-6,0.003567204
900,1.403e-6,0.003338877
900,1.342e-6,0.003391958
1000,1.102e-6,0.004254617
1000,1.313e-6,0.004134126
1000,1.382e-6,0.004021631
1000,1.022e-6,0.004220841
1000,1.142e-6,0.004121723
1000,1.283e-6,0.00439249
1000,1.423e-6,0.004170496
1000,1.403e-6,0.003957048
1000,1.312e-6,0.004106683
1000,1.363e-6,0.004333126
1100,1.693e-6,0.005160918
1100,1.272e-6,0.00517751
1100,1.462e-6,0.005220632
1100,1.072e-6,0.008917994
1100,1.353e-6,0.005242253
1100,1.072e-6,0.005023745
1100,1.253e-6,0.005166559
1100,1.733e-6,0.005207577
1100,1.192e-6,0.005247532
1100,1.082e-6,0.005202998
1200,1.543e-6,0.006449699
1200,2.955e-6,0.006867187
1200,1.724e-6,0.006378032
1200,1.593e-6,0.00657583
1200,1.383e-6,0.006642888
1200,1.583e-6,0.006481579
1200,1.503e-6,0.00642354
1200,1.443e-6,0.008377791
1200,1.803e-6,0.006271519
1200,1.623e-6,0.006400595
1300,1.613e-6,0.008262602
1300,1.603e-6,0.008175486
1300,1.563e-6,0.008417988
1300,1.864e-6,0.009533649
1300,1.593e-6,0.008331734
1300,1.513e-6,0.008194922
1300,1.814e-6,0.008590809
1300,1.282e-6,0.008339649
1300,1.223e-6,0.00852333
1300,1.934e-6,0.00912045
1400,1.913e-6,0.008860674
1400,1.583e-6,0.009970013
1400,1.954e-6,0.009671994
1400,1.723e-6,0.009207386
1400,1.563e-6,0.009639041
1400,1.463e-6,0.008618852
1400,1.473e-6,0.009083159
